split,v0,theta_deg,drag,range
2,2.80462183297715590e+01,3.47546603882264336e+01,2.86467798645571592e-02,3.22209447100125459e+01
0,6.34189972780837223e+01,7.75950740616435581e+01,7.96057069312480770e-02,9.31574565825723688e+00
0,5.88525499478156959e+01,6.63576588293901182e+01,1.39945163016762294e-02,6.13319418679117021e+01
0,1.90071248622018629e+01,4.32373878898568051e+01,5.77415572016003707e-03,3.14257347637008841e+01
0,3.63366950999665974e+01,3.50235193000481360e+01,3.01951121543723652e-02,3.95972653411108482e+01
1,3.94644976232223996e+01,2.18191285547533305e+01,3.44195923254469113e-02,3.57846073127569611e+01
0,5.65488972453372511e+01,6.49296221456151983e+01,4.62627087864960276e-02,2.57613936054966963e+01
2,4.19150274130624183e+01,3.02967851881795660e+01,7.58523562570273362e-03,8.89787252398814132e+01
1,5.10562828777871971e+01,5.64218622071783713e+01,4.86968694381734041e-02,2.90428173600404378e+01
0,6.87779222526259559e+01,4.79866568064415091e+01,5.30115449474072558e-03,1.78715289512242293e+02
1,6.08531527218659321e+01,3.59941472241961264e+01,2.99926951857520420e-02,5.64965055249966142e+01
0,3.55505084455991209e+01,1.14547745911018843e+01,7.03894611462380360e-02,1.68163046774485956e+01
0,4.13877416541138956e+01,5.55803315350034595e+01,4.64046263077352167e-02,2.74776885184748920e+01
0,3.57389698783004661e+01,2.10574264667358371e+01,1.75516935659936722e-02,4.52060187431310254e+01
0,1.76814264804687724e+01,3.19975284068221519e+01,4.77780840058154507e-02,1.51300290791119192e+01
1,2.42269080861177599e+01,3.92620659503858818e+01,1.77110788578802685e-02,3.42422754124113027e+01
0,2.98664542260891750e+01,6.84894209545938679e+01,5.55188392813037428e-03,4.42559500478217274e+01
0,3.19893726921611545e+01,2.64052405511346180e+01,7.21578612024440045e-03,5.92699238029786315e+01
1,3.19133501173956375e+01,4.52357392781560392e+01,3.02236198096882992e-02,3.45923761342281892e+01
1,5.03689801377066431e+01,7.54917335808799237e+01,5.63227989193274131e-02,1.32377954474738484e+01
0,7.80182982933828271e+01,3.84489529826366123e+01,2.72276877134178981e-02,6.85675495387230427e+01
1,6.42264894446612402e+01,1.04085125483328120e+01,4.46628749291009541e-02,3.43810856815243611e+01
0,6.53793763720963739e+01,5.02161501434536746e+01,6.88916898529452343e-02,2.68441450032817066e+01
2,6.31487950377705971e+01,4.66686929734496943e+01,2.17415821517617401e-03,2.47530500439989510e+02
0,5.17891411366629484e+01,1.34612526635195398e+01,7.17355348548344429e-02,2.32681778807393407e+01
0,7.42384580019638918e+01,3.84766644583284005e+01,4.75240707102057153e-02,4.31038749522396429e+01
1,5.82741108812956696e+01,1.71526655329676672e+01,4.88515806388033075e-02,3.52924020059718657e+01
0,4.50249501515809669e+01,6.68211431053169349e+01,4.73107008726933540e-03,8.57020542442625270e+01
2,1.53958665950377132e+01,7.30125320526303341e+01,1.45338638978596366e-02,1.04935990665534646e+01
0,4.41914458959866678e+01,6.92891652527655850e+01,3.67605989625073570e-02,2.34691594408626933e+01
0,2.48981696738234035e+01,4.09018451394087919e+01,7.48938188735412957e-02,1.65785548412977555e+01
0,1.92887408282751096e+01,6.11469077242090933e+01,3.65102432911032088e-02,1.56398329196437889e+01
2,4.54245445770561105e+01,3.16615600030503686e+01,1.27993961057329218e-02,7.74330515374684438e+01
1,6.49559704817871335e+01,3.25330924145517315e+01,3.40592506869966880e-02,5.36006653188388995e+01
0,3.06504509963863612e+01,5.16365057532711660e+01,1.63662513560484772e-02,4.37994510856027972e+01
0,6.38140231936416527e+01,5.27785310087497948e+01,3.09374417327874622e-02,4.88899638392780673e+01
0,4.67940666213577856e+01,5.89815724262255685e+01,2.70621685109188014e-02,4.07722585267603890e+01
